rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
370,large_file,9073,117,rare,16,9563,14068,40.46802928356819
371,large_file,9184,107,rare,16,9579,14052,40.53573695569379
372,large_file,9640,119,rare,16,9595,14036,40.60344462781939
373,large_file,10068,78,rare,16,9611,14020,40.671152299944985
374,large_file,10125,82,rare,16,9627,14004,40.738859972070586
375,large_file,10391,74,rare,16,9643,13988,40.806567644196186
376,large_file,10737,79,rare,16,9659,13972,40.87427531632178
377,large_file,11586,95,rare,16,9675,13956,40.94198298844738
378,large_file,11764,75,rare,16,9691,13940,41.00969066057298
379,large_file,12523,93,rare,16,9707,13924,41.07739833269857
380,large_file,12545,95,rare,16,9723,13908,41.14510600482417
381,large_file,15187,77,rare,16,9739,13892,41.21281367694977
382,large_file,15191,77,rare,16,9755,13876,41.280521349075364
383,large_file,15193,78,rare,16,9771,13860,41.348229021200964
384,large_file,15202,78,rare,16,9787,13844,41.415936693326564
385,large_file,15227,78,rare,16,9803,13828,41.48364436545216
386,large_file,15235,78,rare,16,9819,13812,41.55135203757776
387,large_file,15262,77,rare,16,9835,13796,41.61905970970336
388,large_file,15269,77,rare,16,9851,13780,41.68676738182895
389,large_file,15296,75,rare,16,9867,13764,41.75447505395455
390,large_file,15329,71,rare,16,9883,13748,41.82218272608015
391,large_file,15338,84,rare,16,9899,13732,41.88989039820574
392,large_file,15417,72,rare,16,9915,13716,41.95759807033134
393,large_file,15495,79,rare,16,9931,13700,42.02530574245694
394,large_file,15542,87,rare,16,9947,13684,42.09301341458254
395,large_file,15761,76,rare,16,9963,13668,42.160721086708136
396,large_file,15880,73,rare,16,9979,13652,42.228428758833736
397,large_file,15885,78,rare,16,9995,13636,42.296136430959336
398,large_file,16024,76,rare,16,10011,13620,42.36384410308493
399,large_file,16045,81,rare,16,10027,13604,42.43155177521053
400,large_file,2039,81,rare,16,10043,13588,42.49925944733613
401,large_file,3941,85,rare,16,10059,13572,42.56696711946172
402,large_file,4018,84,rare,16,10075,13556,42.63467479158732
403,large_file,4090,85,rare,15,10090,13541,42.69815073420507
404,large_file,4118,71,rare,15,10105,13526,42.761626676822814
405,large_file,4170,87,rare,15,10120,13511,42.825102619440564
406,large_file,4174,82,rare,15,10135,13496,42.88857856205831
407,large_file,4183,85,rare,15,10150,13481,42.95205450467606
408,large_file,4218,88,rare,15,10165,13466,43.015530447293806
409,large_file,4247,85,rare,15,10180,13451,43.079006389911555
410,large_file,4279,74,rare,15,10195,13436,43.142482332529305
411,large_file,4357,81,rare,15,10210,13421,43.205958275147054
412,large_file,4366,90,rare,15,10225,13406,43.269434217764804
413,large_file,4397,83,rare,15,10240,13391,43.332910160382546
414,large_file,4413,82,rare,15,10255,13376,43.396386103000296
415,large_file,4477,88,rare,15,10270,13361,43.459862045618046
416,large_file,4507,82,rare,15,10285,13346,43.523337988235795
417,large_file,4798,90,rare,15,10300,13331,43.58681393085354
418,large_file,4915,77,rare,15,10315,13316,43.65028987347129
