rank,source,source_idx,n_envs
939,probe,610,79
940,probe,640,88
941,probe,643,110
942,probe,695,77
943,probe,763,71
944,probe,766,76
945,probe,770,72
946,probe,781,74
947,probe,800,87
948,probe,805,84
949,probe,857,79
950,probe,865,73
951,probe,868,73
952,probe,870,75
953,probe,891,75
954,probe,898,85
955,probe,933,121
956,probe,939,103
957,probe,958,90
958,probe,969,75
959,probe,984,79
960,probe,1034,73
961,probe,1093,82
962,probe,1123,86
963,probe,1209,77
964,probe,1210,111
965,probe,1217,94
966,probe,1247,71
967,probe,1399,89
968,probe,1428,75
969,probe,1449,80
970,probe,1666,90
971,probe,1687,80
972,probe,1703,80
973,probe,1755,86
974,probe,1946,105
975,probe,2013,72
976,probe,2024,83
977,probe,2025,71
978,probe,2029,73
979,probe,2040,71
980,probe,2190,82
981,probe,2422,93
982,probe,2527,74
983,probe,3036,104
984,probe,3222,100
985,phase2,4950,70
986,phase2,10069,89
987,phase2,11551,87
988,phase2,14406,89
989,phase2,14952,85
990,phase2,15078,120
991,phase2,15083,106
992,phase2,16205,89
993,phase2,18329,87
994,probe,168,80
995,probe,172,84
996,probe,225,73
997,probe,228,84
998,probe,252,77
999,probe,254,87
1000,probe,260,84
1001,probe,264,88
1002,probe,266,121
1003,probe,282,80
1004,probe,358,85
1005,probe,416,89
1006,probe,454,84
1007,probe,461,82
1008,probe,480,79
1009,probe,523,106
1010,probe,600,79
1011,probe,606,72
1012,probe,627,79
1013,probe,663,117
1014,probe,676,80
1015,probe,735,113
1016,probe,777,70
1017,probe,780,73
1018,probe,786,78
1019,probe,789,71
1020,probe,799,85
1021,probe,803,80
1022,probe,831,103
1023,probe,856,73
1024,probe,858,80
1025,probe,896,84
1026,probe,1058,102
1027,probe,1090,82
1028,probe,1161,101
1029,probe,1205,74
1030,probe,1212,93
1031,probe,1282,85
1032,probe,1358,115
1033,probe,1573,101
1034,probe,1651,95
1035,probe,1685,74
1036,probe,1860,107
1037,probe,1879,105
1038,probe,1953,92
1039,probe,1970,95
1040,probe,2066,72
1041,probe,2096,73
1042,probe,2114,81
1043,probe,2119,82
1044,probe,2263,106
1045,probe,2284,92
1046,probe,2346,100
1047,probe,2402,108
1048,probe,2510,80
1049,probe,2528,77
1050,probe,2654,74
1051,probe,3050,101
1052,probe,3073,101
1053,probe,3236,96
1054,probe,3283,93
1055,probe,3375,73
1056,probe,3426,75
1057,phase2,3456,87
1058,phase2,5295,85
1059,phase2,6871,88
1060,phase2,7070,89
