rank,source,source_idx,n_effective_envs_in_structure,pass,new_gain,covered,uncovered,coverage_pct
247,large_file,9148,84,rare,13,5688,6815,45.4930816604015
248,large_file,9594,85,rare,13,5701,6802,45.59705670639047
249,large_file,9896,108,rare,13,5714,6789,45.70103175237943
250,large_file,10116,109,rare,13,5727,6776,45.80500679836839
251,large_file,10467,88,rare,13,5740,6763,45.908981844357356
252,large_file,10912,94,rare,13,5753,6750,46.01295689034632
253,large_file,11082,91,rare,13,5766,6737,46.11693193633528
254,large_file,11742,93,rare,13,5779,6724,46.220906982324244
255,large_file,11785,128,rare,13,5792,6711,46.324882028313205
256,large_file,12172,125,rare,13,5805,6698,46.428857074302165
257,large_file,13805,105,rare,13,5818,6685,46.53283212029113
258,large_file,14666,83,rare,13,5831,6672,46.63680716628009
259,large_file,14997,115,rare,13,5844,6659,46.74078221226905
260,large_file,15041,107,rare,13,5857,6646,46.84475725825802
261,large_file,15805,83,rare,13,5870,6633,46.94873230424698
262,large_file,16748,112,rare,13,5883,6620,47.05270735023594
263,large_file,17941,79,rare,13,5896,6607,47.15668239622491
264,large_file,19873,91,rare,13,5909,6594,47.26065744221387
265,large_file,1314,66,rare,12,5921,6582,47.35663440774214
266,large_file,1729,84,rare,12,5933,6570,47.452611373270415
267,large_file,2395,82,rare,12,5945,6558,47.54858833879869
268,large_file,2594,92,rare,12,5957,6546,47.64456530432696
269,large_file,2904,110,rare,12,5969,6534,47.74054226985523
270,large_file,2921,73,rare,12,5981,6522,47.836519235383506
271,large_file,3489,81,rare,12,5993,6510,47.93249620091178
272,large_file,4479,92,rare,12,6005,6498,48.02847316644005
273,large_file,5805,89,rare,12,6017,6486,48.12445013196833
274,large_file,7294,124,rare,12,6029,6474,48.220427097496604
275,large_file,7815,91,rare,12,6041,6462,48.316404063024876
276,large_file,8120,115,rare,12,6053,6450,48.41238102855315
277,large_file,9086,90,rare,12,6065,6438,48.50835799408142
278,large_file,10959,86,rare,12,6077,6426,48.604334959609695
279,large_file,12291,120,rare,12,6089,6414,48.70031192513797
280,large_file,12552,89,rare,12,6101,6402,48.79628889066624
281,large_file,12803,76,rare,12,6113,6390,48.89226585619451
282,large_file,14912,82,rare,12,6125,6378,48.988242821722785
283,large_file,15089,83,rare,12,6137,6366,49.08421978725106
284,large_file,15779,86,rare,12,6149,6354,49.18019675277933
285,large_file,15892,81,rare,12,6161,6342,49.276173718307604
286,large_file,16263,86,rare,12,6173,6330,49.372150683835876
287,large_file,16639,105,rare,12,6185,6318,49.46812764936415
288,large_file,17042,88,rare,12,6197,6306,49.56410461489243
289,large_file,17211,85,rare,12,6209,6294,49.6600815804207
290,large_file,17267,85,rare,12,6221,6282,49.756058545948974
291,large_file,17356,89,rare,12,6233,6270,49.85203551147725
292,large_file,17492,112,rare,12,6245,6258,49.94801247700552
293,large_file,18932,88,rare,12,6257,6246,50.04398944253379
294,large_file,19566,88,rare,12,6269,6234,50.139966408062065
295,large_file,711,82,rare,11,6280,6223,50.22794529312965
296,large_file,774,71,rare,11,6291,6212,50.315924178197236
297,large_file,2999,110,rare,11,6302,6201,50.40390306326481
298,large_file,3081,111,rare,11,6313,6190,50.4918819483324
299,large_file,3486,88,rare,11,6324,6179,50.579860833399984
300,large_file,3932,118,rare,11,6335,6168,50.66783971846757
301,large_file,4653,110,rare,11,6346,6157,50.755818603535154
302,large_file,7022,110,rare,11,6357,6146,50.84379748860273
303,large_file,7462,118,rare,11,6368,6135,50.93177637367032
304,large_file,7706,91,rare,11,6379,6124,51.0197552587379
305,large_file,8499,99,rare,11,6390,6113,51.10773414380549
306,large_file,8626,107,rare,11,6401,6102,51.19571302887307
307,large_file,8791,107,rare,11,6412,6091,51.28369191394066
308,large_file,8939,101,rare,11,6423,6080,51.371670799008236
309,large_file,9729,87,rare,11,6434,6069,51.45964968407582
310,large_file,10592,109,rare,11,6445,6058,51.547628569143406
311,large_file,10725,70,rare,11,6456,6047,51.63560745421099
