index,name,n_atoms,DFT_energy_pa,M3G_energy_pa,energy_residual,energy_MAE,force_MAE,force_RMSE,force_max_err,stress_MAE,stress_RMSE,stress_normal_MAE,stress_normal_RMSE,stress_res_xx,stress_res_yy,stress_res_zz,stress_res_yz,stress_res_xz,stress_res_xy
181,structure_1161.xyz,59,-8.382688862711865,-8.428805076469809,-0.04611621375794428,0.04611621375794428,0.18036901142900694,0.22449258294135235,0.6062117218971252,0.010313381014081338,0.013198853415339558,0.015471194327498475,0.017907359774243937,-0.0027243737131357193,-0.022179930470883846,-0.02150927879847586,0.005401316564530134,-0.0037274034693837166,-0.006337983068078756
182,structure_1162.xyz,59,-8.40147496983051,-8.43363150903734,-0.032156539206830814,0.032156539206830814,0.155698295050277,0.20452978627699103,0.6343713998794556,0.0069385538129912066,0.00932097598849767,0.011102999172483882,0.012749801484260208,0.0026582328137010336,-0.01765684364363551,-0.012993921060115099,-0.0038902953965589404,0.00013570208102464676,0.00429632788291201
183,structure_1163.xyz,59,-8.408795274067797,-8.443087820279397,-0.03429254621159927,0.03429254621159927,0.1434897586313934,0.184308496913561,0.5991641879081726,0.010626609839770632,0.012352340786886023,0.014475009210097292,0.015807070104834765,-0.005498761776834726,-0.019239894580096006,-0.018686371273361146,-0.010919492458924651,0.003627336787758395,0.0057878021616488695
184,structure_1164.xyz,59,-8.394844998474577,-8.437405343783103,-0.04256034530852659,0.04256034530852659,0.1676906652835403,0.21496658903427424,0.595643162727356,0.006471323693403974,0.008207460634830913,0.010525446850806475,0.011201310389038332,-0.005763804540038109,-0.01066538505256176,-0.015147150959819555,0.00031903665512800217,0.004814315179828554,0.0021182497730478644
185,structure_1165.xyz,59,-8.39661222101695,-8.42898973367982,-0.0323775126628707,0.0323775126628707,0.15702751932776202,0.1983900772567584,0.5092334747314453,0.009131694959554201,0.010829831649945271,0.011700827162712812,0.013365347300010913,-0.002782451920211315,-0.01444780407473445,-0.017872225493192673,0.0019922538194805384,0.006939744402188808,-0.010755690047517419
186,structure_1166.xyz,59,-8.400804694915253,-8.440195891816737,-0.03939119690148374,0.03939119690148374,0.13927968639859373,0.17706185271131947,0.4921102523803711,0.010439163461948434,0.013818370701491405,0.017938862709949415,0.019257214777598466,-0.00805496796965599,-0.023417240008711815,-0.022344380151480436,-0.004865095252171159,0.001060183160007,0.0028931142296642065
187,structure_1167.xyz,59,-8.401531431016949,-8.439492435778602,-0.03796100476165343,0.03796100476165343,0.12401570868678391,0.16326186781377233,0.5122532546520233,0.010231717945619797,0.013124397095722244,0.016929689173897106,0.01807835758681894,-0.007967373356223106,-0.02113403007388115,-0.021687664091587067,-0.006415250012651086,0.003338199108839035,0.0008477910305373371
188,structure_1168.xyz,59,-8.39810567101695,-8.436227054919227,-0.03812138390227737,0.03812138390227737,0.14903903292691978,0.18749740912451376,0.6113116145133972,0.008799043542239815,0.011530349109876973,0.015021145964662233,0.0159635438476159,-0.007560713216662407,-0.017317376099526882,-0.020185348577797413,-0.005525586428120732,0.0014386740513145924,0.0007665628800168633
189,structure_1169.xyz,59,-8.361104895423729,-8.397472834182999,-0.03636793875926969,0.03636793875926969,0.1596264502574232,0.1987296876785336,0.5948329865932465,0.005819920393453988,0.0076323568519343415,0.00759405813490351,0.009274529844028169,6.601959466934204e-05,-0.01148943230509758,-0.01122672250494361,-0.0017985440790653229,0.009339912794530392,0.0009988910824176855
190,structure_117.xyz,55,-8.550028529454545,-8.545719770951704,0.004308758502840959,0.004308758502840959,0.15399542875856048,0.19306869969704593,0.7103443294763565,0.002944210971084734,0.003950830644551085,0.0021954872645437717,0.003464327746334506,-0.0005918946117162704,-2.3486092686653137e-05,-0.005971081089228392,-0.0013934050220996141,-0.00694086798466742,0.002744531026110053
191,structure_1170.xyz,59,-8.350476341355932,-8.388773255429026,-0.038296914073093546,0.038296914073093546,0.15271893443965937,0.1907105108953622,0.7223464250564575,0.008035473622536907,0.010206262367227447,0.013482478098012507,0.01408751796065347,-0.008262483403086662,-0.013951176428236067,-0.01823377446271479,0.005104977171868086,0.0012026893673464656,-0.0014577409019693732
192,structure_1171.xyz,59,-8.366625790677967,-8.399416648735434,-0.032790858057467176,0.032790858057467176,0.16994575697976022,0.21725158486316132,0.6033949851989746,0.007991840733059993,0.010623609452914464,0.011736045203482112,0.014271291340977245,-0.00039771548472344875,-0.015829072799533606,-0.01898134732618928,0.0016658683307468891,0.004530634498223662,-0.006546405958943069
